gene,A_S01,A_S02,A_S03,A_S04,A_S05,B_S01,B_S02,B_S03,B_S04,B_S05,C_S01,C_S02,C_S03,C_S04,C_S05
ARID1B,-0.4154117182259879,-0.5078153643875796,-1.3009195013760755,-1.4359031281325443,-0.5732454261197106,-0.5245826258787393,-0.3294019917468933,-1.0625735522522437,-1.4810771688503817,-0.41768112400499985,-0.000947493947040831,-0.10344667759743835,-0.8598945576332209,-0.9676670438403525,-0.2578436589221943
CCL21,-5.719192466403091,-7.192313538659651,-6.385114628792504,-8.223805687523976,-6.930797430737794,-5.048144581935753,-6.631777289212855,-7.187269299701558,-5.947776787951718,-4.237860086420188,-4.761759830067614,-6.169535868055211,-6.321374004919377,-5.333989258086168,-4.640313295744607
CCN1,1.7484130836799066,4.722285152084131,1.640237924560561,-0.07405856801929375,1.7416279112337012,0.915989965507242,4.1823737763917705,1.010220450102957,-0.8697742759504449,1.1587446947616709,1.5236423887946335,4.788159807318994,1.7103271978209251,-0.2228535878514614,1.7520041270341529
CCND2,-2.812301870794572,-2.407211423449174,-0.006069563106780789,0.3835246262256348,-2.1759099285743257,-2.997518508865784,-2.9059522526518493,-0.6689439920106924,-0.22895854049577122,-3.1503972451698483,-2.098794817345185,-1.8476077731678484,0.3341567182362657,0.696677878160773,-1.5896872226746392
CD3E,-5.397264371515728,-6.414705959996098,-5.763626252046234,-4.97587817408039,-4.608869335850432,-5.048144581935753,-6.084289493910362,-5.656754583002779,-4.869774275950445,-4.237860086420188,-5.931684831509927,-5.07437863501487,-5.073446491475791,-4.379792947699293,-4.862705717081055
CDC20,-3.195630510346078,-3.809843901837237,-3.642610851084868,-3.074058568019294,-1.6828699172942088,-2.9486089083848377,-3.7930581962459162,-3.698982818392076,-2.8697742759504448,-2.0679350849778753,-3.5393674087311666,-4.07437863501487,-3.9994459100320143,-3.1842421385814865,-2.238214852173262
CDK6,-3.812301870794572,-2.6509403064861767,-2.8957297880535786,-2.653950079193028,-3.9307974307377944,-4.2705370032722,-1.8363619804667763,-2.1380257806817093,-1.7426623580471057,-3.330969490811669,-3.6097567366225647,-1.686452981353268,-1.8215281178361717,-1.711937438629792,-2.5896872226746392
CDKN2A,-1.9912720118398914,-2.532062910634257,-3.3173700221566698,-1.731952591194301,-0.07281643561022218,-2.0226094898286147,-2.298794005816497,-3.1673697422638534,-1.2784980012970864,0.01952775627246403,-1.4238901913112307,-2.1291215996093027,-2.692017384839767,-1.306083261516284,0.3467476485478945
CDKN2C,-1.1342299656819348,-1.607351037938494,-0.5290482922616679,-1.3596195428696956,-0.244296903554576,-2.4979474993752726,-1.8975887797172226,-0.9520528380075269,-1.8985332689318688,-1.028406720791238,-1.3925260204018957,-1.4342106322702601,-0.5498845354187785,-1.5395733917360623,-0.03827728166450971
CHEK1,-6.134229965681935,-4.790215095088305,-3.4561977268539863,-3.6388431868028195,-5.930797430737794,-5.048144581935753,-4.162292005911635,-3.1283756106479896,-3.3103468673364262,-4.430505164362583,-4.931684831509927,-3.686452981353268,-3.0639861622267253,-3.2465264168358288,-4.447668217802211
CKS2,-5.134229965681935,-3.891144003939085,-3.240064295989221,-2.2696093771371006,-5.345834930016638,-4.533571409105994,-3.010288912466585,-2.3571943011438705,-1.3695089398045701,-3.6528975856990313,-4.231245113368835,-2.4490583966775734,-1.9247692237375185,-1.164064256643856,-5.125740122914849
COL1A1,0.9847111070415727,1.4704819745571045,-0.004736819325268975,5.6305757429382775,2.7291984616921834,-0.03532054157816869,1.1810171064521056,-0.5306458138529556,5.411911774334922,2.033602941484187,0.9325013131443531,1.5728501299754132,0.07523077626248151,5.583056425070985,2.5691400698843423
ESR1,-4.397264371515728,-4.870385443772288,-4.956271329988629,-4.764374068886679,-4.12344250868019,-4.396067885356059,-5.378020696967072,-5.3571943011438705,-5.532739288672874,-3.9159319915328252,-4.761759830067614,-6.236650063913748,-5.797812048862364,-4.9416718353074085,-4.277743216359899
EZH2,-3.3972643715157287,-3.7708497702213735,-4.019465156475824,-3.3909156733592343,-5.930797430737794,-3.9486089083848377,-3.4867269564095724,-3.4992133060162987,-3.0091773326158613,-3.9159319915328252,-4.346722330788771,-4.089808675584477,-4.514019082861773,-3.690133068311444,-4.277743216359899
FBLIM1,-1.5899094494581243,-1.5158526834529982,-1.9562713299886296,-1.3846018994270317,-0.2583720887662987,-2.2705370032722,-1.9528386402826852,-2.3571943011438705,-1.9884187724490638,-0.63794724423306,-2.8442219902595873,-2.5845733673340545,-2.946334573572452,-2.463624538502764,-1.2979210982975293
FGFR4,-5.719192466403091,-6.299228742576163,-4.659289592231498,-5.523365969382883,-4.12344250868019,-5.048144581935753,-6.244754166103608,-5.3571943011438705,-5.11770178939403,-4.237860086420188,-3.346722330788771,-4.05911187836156,-3.2990061918909226,-2.9245983219484666,-3.199740704358626
GAS1,3.3971514948343775,1.4302612806360184,3.234117774013398,1.5738558383297845,2.62762328253087,2.600854911114932,0.8002827222745619,2.6454449368155837,0.9389359257191702,1.7649549291868665,2.705845720015383,0.8258458618200164,2.6051073190470224,0.873025062091364,1.7763334563958937
IFNGR1,2.3762045563894656,2.365013395147306,2.3056892424938464,0.7231005869324219,2.2466221072514423,1.4954396775530745,1.6981052752900876,1.573173446295081,-0.04356032664152487,1.4023848498021583,2.010829673829313,2.1238312717430077,2.013457923198623,0.28439624417243814,1.905478607695871
IGF2,-0.2597608477657935,2.770375939579571,0.9291635829264134,5.4665197350126435,-0.7019787402419135,0.23725763692649604,3.2454478444108985,1.3323669531416547,5.987551990306852,-0.1398280034596608,0.39024326337743526,3.7709779504554386,1.7504235173648295,6.165202635054662,0.19618797197251317
KDR,-0.6531032759453183,-1.3703118406376449,-2.3713088292674733,-3.7975409328218777,-0.3014408106581848,-1.2705370032722,-1.2421045876896586,-2.5117042501994953,-4.030238948143691,-0.6085034663405781,-0.8655956410521546,-1.163401081883109,-2.514019082861773,-4.0485870392239205,-0.3496361348416847
KIF20A,-5.397264371515728,-5.751740947273669,-5.041160227575142,-3.9758781740803903,-4.608869335850432,-4.685574502551044,-5.5773295051904785,-4.865341204814196,-3.72538436661527,-3.6528975856990313,-5.931684831509927,-6.307039391805145,-6.414483409310859,-5.526634336028565,-5.862705717081055
KRT14,-5.719192466403091,0.17525722178342432,-7.50059184621244,-4.831488264745215,-5.930797430737794,-5.2705370032722,0.43844688556281214,-6.269731459893531,-5.532739288672874,-5.237860086420188,-6.931684831509927,0.11081312308075236,-8.321374004919377,-6.749026757365012,-6.447668217802211
LINC02593,-1.0326919392198723,0.07848234701739584,-1.772671391649241,-2.2930683499610898,-0.7608724292954819,-1.08731517921643,-0.44195273033283794,-2.157521956307506,-2.3628142872305617,-0.8980100835355629,-0.7617598300676145,-0.239873964788034,-1.985983650225452,-1.9676670438403525,-0.5051537124629717
MDM4,0.08816245565451322,-0.5198881966881549,-0.18167250119741585,-0.32293887954322725,-0.06043271115438986,-0.08071244439218296,-0.3209897519306933,0.05325705036012405,-0.35947857466730543,0.0005446529048914537,0.1557780097404125,-0.21533955766833546,0.14725003799864156,-0.13431691324980408,0.2870414024236266
MMP9,-7.719192466403091,-2.5902775245795526,-5.763626252046234,-6.416450765466371,-4.930797430737794,-6.2705370032722,-3.7028603872743378,-5.8336323450868575,-5.658270170756733,-4.430505164362583,-5.124329909452323,-2.8087885242773205,-4.367177694532502,-4.9416718353074085,-4.447668217802211
MUTYH,-2.292927711700993,-3.2447809585537857,-4.063186533905141,-4.523365969382883,-2.6828699172942088,-2.3009106523157192,-2.9143644924680494,-3.897762682506573,-3.9477767879517183,-3.237860086420188,-2.931684831509927,-3.334346737800881,-4.861942386282079,-5.164064256643856,-2.9241062617451985
MYBL1,-5.397264371515728,-4.192313538659651,-3.9156293454912836,-3.3658246923964037,-5.930797430737794,-5.2705370032722,-4.524862085296343,-4.999642296525787,-4.1635054790071555,-5.652897585699031,-5.609756736622565,-4.770986491564936,-4.895109250217279,-4.246526416835829,-5.862705717081055
PGK1,1.8881378473465198,2.1101621935615396,2.557399876546736,2.943298794855958,2.3615242020642446,1.7865521889346205,2.099019404717115,2.5538231066531147,2.9184718231594546,2.2050834094285405,1.7722187419347366,2.1359041040435827,2.514084313317216,2.8561440637786313,2.1633565795051406
PGR,0.6774123147787676,-0.6181255095326694,0.6801461407175051,-3.3658246923964037,0.22907390604059505,0.19978293150783322,-0.8830683619785108,0.29026412531104967,-3.4738455996193056,-0.48297258425671913,0.292316842688178,-0.668965554624427,0.5051744823715381,-3.9764372534680845,-0.2578436589221943
PIM1,-3.6317296251527513,-0.8678115001084616,-2.246350558836652,-2.3411626381621344,-2.1759099285743257,-4.533571409105994,-0.723038269211968,-1.9018670808393099,-1.9082484237650805,-2.9159319915328252,-3.6837573180663417,-0.06196211644547451,-1.2339111636690376,-1.4391714947782248,-1.540777622193693
