gene,A_S08,A_S10,A_S06,A_S07,A_S09,A_S11,A_S12,A_S13,A_S14,A_S15,B_S08,B_S10,B_S06,B_S07,B_S09,B_S11,B_S12,B_S13,B_S14,B_S15,D_S08,D_S10,D_S06,D_S07,D_S09,D_S11,D_S12,D_S13,D_S14,D_S15,E_S08,E_S10,E_S06,E_S07,E_S09,E_S11,E_S12,E_S13,E_S14,E_S15
ARID1B,-0.8528730044191566,0.003984549930526025,0.021943735759446723,-1.6540037396057585,-0.11687413406866741,-0.6193763566649637,-1.748539977989984,-0.5053203913171178,-0.5560587262783301,-0.4730424771392163,-1.4580120507622953,-0.027147185965411356,0.057616467568859735,-1.6362185552586805,-0.22461903824040805,-0.6965057249627642,-1.6728508511264581,-0.41027716614961174,-0.6069193853535845,-0.5737847839142981,-1.1907796971659885,-0.17796123530237876,0.001288794631895102,-1.6011297289628144,-0.10652951603785216,-0.9141062417054564,-1.1760619123280975,-0.5223056377109365,-0.5957875889593774,-0.4938935158675715,-0.13594351687795558,0.7626290954413287,0.8396065946123465,-0.7535312022269424,0.7723641366750951,0.27378602947792025,-0.8947377152332663,0.3500947164264705,0.26021349047273495,-0.14412182547396654
CCL21,-6.138275223281405,-7.201129879974086,-7.6413602162435,-9.011555744223841,-7.98621092696741,-7.731381382178094,-7.055127526742861,-6.815660511929268,-7.1029531861659665,-7.306598401789304,-3.7143518040220806,-6.764756696697044,-6.411618326098796,-6.680612674617134,-6.59617790085237,-6.698553553611623,-7.442505063998839,-6.576661809886676,-5.661215362668725,-6.609599918383968,-5.805489541281196,-7.812167255043384,-6.380057510325862,-7.993447151741575,-7.340149192797554,-2.9141062417054564,-7.856323748531559,-6.211350601251916,-7.292059672885241,-7.198027717566405,-4.562208271580054,-7.489089997164631,-8.118946120818665,-7.19647469807567,-6.907115962830351,-7.59040011517636,-7.960826905691039,-5.908639551973698,-6.254171819209302,-0.5556517490177393
CCN1,2.5947400984045577,-1.9873505889423464,1.3095080764256202,-0.5097185593215452,2.537840991750413,5.3788844085965,-0.46439654556209203,3.9176260312719715,2.2418974977770243,2.14883697873129,1.9549269826325506,-2.549743805726194,0.7880540187375683,-0.9691177679670461,1.9301257053540848,4.879218568903054,-1.0255902774793244,3.403225673211102,1.7933643472352325,1.5909255873530068,2.211318746405357,-2.331040565306768,0.9303487146662807,-0.7678380177215838,2.0832293837209392,-1.9141062417054564,3.719635619168167,3.6261339869900753,1.974961052542078,1.8534531477749283,3.160599259589493,-1.5026790619125863,1.5797585459516799,-0.07063076509747522,2.9418198926942143,5.813965353805206,-0.007794528437799634,4.357142909079081,2.759383490682165,0.7232586707374017
CCND2,-3.6788436046441078,-0.4991496437572117,1.0244832453764228,-1.0778650892716084,-0.31732594270116327,-0.3462379922870701,0.2320520670403729,0.0162167292624047,0.7868042596393594,-0.16435695903270636,-3.8842768054643932,-1.1797941959758884,0.6458319460851036,-1.7641360301794173,-0.9068787403164791,-0.7938505172408685,-0.16018882501033302,-0.4558902927972264,0.267370304039113,-0.644317527983645,-5.22052704056004,-0.3486428817722038,1.3032561477883697,-0.8538957993427809,-0.06751940782118446,-0.5921781468180941,0.01814536938458181,0.1438002460170621,0.8305095193312061,0.044828806329758324,-2.2402801766926914,0.6957853457436528,2.2136499369705493,0.11034650442148336,0.8570921673095958,0.7171802007510358,1.3781322697241647,1.0642718744990864,1.807874318511189,0.19079375892231193
CD3E,-6.138275223281405,-5.46416428580788,-5.6938276361376365,-6.104665148615323,-5.483710586438227,-4.409453287290733,-7.111711055109228,-4.084477270357068,-4.498091128007106,-5.999937063555253,-3.076921883406789,-4.442828601809682,-4.524093055357208,-5.095650173895978,-4.788822978794767,-3.573022671527764,-7.290501970553788,-3.360343902959912,-3.71125604516832,-6.088767755082528,-4.22052704056004,-3.9708650010624424,-4.413224374261062,-4.534015533104277,-5.092221679353969,-0.5921781468180941,-4.591620522337147,-2.728267714549974,-3.0748289566645717,-5.2720282990101826,-4.240280176692691,-4.641093090609681,-4.311591198761061,-5.19647469807567,-5.42168913566011,-3.4611170982313935,-6.960826905691039,-3.1210478847375236,-3.5537321010682095,-1.557964298765336
CDC20,-2.1382752232814046,-4.283592040166059,-2.886472714080032,-3.924092902973503,-2.8297064412874193,-4.4459791633158465,-3.58564224344164,-5.28959170026168,-3.687915686887123,-3.8821005732613942,-1.598874586602145,-3.9871491180334924,-2.744861734213993,-3.447951917826859,-2.689287305243852,-4.135617359220466,-3.057841213763514,-5.342196556249653,-3.550791372975074,-3.5633062661100334,-2.805489541281197,-4.812167255043384,-3.795095009604706,-4.18609222968397,-3.6259036751314317,-0.32914374098430027,-4.61685781383617,-5.422854706445628,-4.464240648267921,-4.535062704843976,-1.807320769416585,-4.110578373910902,-3.364058618655196,-3.9234562036692546,-2.943641838855465,-4.620773764219879,-3.3879372372704575,-4.7773950186954455,-3.751671478680118,-0.08413464915693261
CDK6,-6.138275223281405,-3.1231273679728133,-1.8120905177574558,-5.31111602608275,-4.111741809051269,-2.280170270345766,-3.824829907321066,-3.0714994163588583,-2.1722158486030803,-2.921530718089932,-5.299314304743237,-2.5386886172171983,-0.9988368007603204,-4.6102233467257365,-3.3789471846317016,-1.423275552023082,-2.773226277344207,-2.2675198699551564,-1.178132475966782,-2.080593823636828,-5.805489541281196,-1.950046529554888,-0.8911218973784818,-4.3304821390191455,-3.0002991899129294,-1.9141062417054564,-2.0475382908675144,-2.1394007593729016,-1.1856275950683117,-1.8334552852705492,-2.655317675971535,-1.928375042690152,-1.1764316154794248,-3.9234562036692546,-3.059119056275401,-1.474922897756424,-2.6461303800347524,-2.346760664365583,-1.387923208098129,-0.236334867586915
CDKN2A,0.04163386673352961,-4.46416428580788,-2.7276159495939196,-0.7307849740932395,-4.789813714163907,-4.077939143574172,-5.126210624804343,-4.404234266202804,-6.6879156868871235,-6.16220849245413,0.13809100756406134,-4.402186617312336,-2.3072816662840605,-0.30905381200517107,-4.670178482296148,-3.430064717685721,-4.220112642662391,-3.831234636972273,-5.872719467862436,-5.1558819509410645,-0.011073674931090802,-3.9052766594348656,-2.3159271729061466,-0.3689562868337809,-4.585261690634086,-1.9141062417054564,-4.244889036449212,-3.304460005643398,-5.970131577997878,-4.915093754294906,0.5038809188777189,-4.351586473414696,-2.4750899310439403,-0.4020588317255647,-4.907115962830351,-3.783045193118756,-4.554834546015202,-3.600517256611366,-6.254171819209302,-0.35883853515793407
CDKN2C,-2.2802942281538328,-2.2366285611954724,-0.7089345285278446,-2.346219827038666,-2.7509944652733784,-0.9197391017173924,-1.727661248314068,-2.2282955209928077,0.15050038891021406,0.05511455920392202,-3.424845186827096,-2.913900136002854,-0.8236533372161167,-3.2476532673410277,-3.5782559928551083,-1.1054171214447666,-1.932949965935705,-2.514377531632333,-0.28301904813461704,-0.22251914397135533,-2.161633351506472,-2.1492022423209547,-0.5220765151982899,-2.008554044131783,-2.6819377100457595,0.2558187597368558,-1.1791914038825362,-2.0197305287102854,0.28763339057350923,0.16596098215386051,-1.7548533495224494,-2.042833767275067,-0.33431127526114407,-1.524049356104175,-2.501123603154514,-0.5661838777555369,-1.397058627239006,-1.9346347605066423,0.42882276447238116,-0.13017940143992185
CHEK1,-6.138275223281405,-4.538164867251657,-4.022450383599007,-3.5037611040251457,-5.2136214230704825,-4.040219477625013,-2.7840236909331804,-5.39342751124622,-5.365987591999761,-4.414974562834097,-4.299314304743237,-4.080258522424974,-3.875565425858586,-3.144559774376924,-4.217666277598641,-4.135617359220466,-2.618076628582293,-5.306572646518931,-5.120646981306022,-4.474950391689187,-3.4835614463938342,-4.724704413793044,-3.862209205463243,-3.934553462688006,-5.170224191355242,-0.5921781468180941,-3.6468703829026095,-5.422854706445628,-5.569593648414149,-4.4902084690597155,-6.562208271580054,-4.9530370969244215,-4.418506402677573,-3.5719838331678773,-5.42168913566011,-4.368007693839912,-3.1432036481796075,-5.546069472588989,-5.517206225043095,-0.47329725974284903
