sample_id,lot,pos_probe,concentration_fM,count
S06,A,POS_A,128.0,30912
S06,A,POS_B,32.0,8413
S06,A,POS_C,8.0,2152
S06,A,POS_D,2.0,602
S06,A,POS_E,0.5,102
S06,A,POS_F,0.125,82
S06,B,POS_A,128.0,46213
S06,B,POS_B,32.0,12946
S06,B,POS_C,8.0,3041
S06,B,POS_D,2.0,775
S06,B,POS_E,0.5,131
S06,B,POS_F,0.125,69
S06,D,POS_A,128.0,52596
S06,D,POS_B,32.0,13799
S06,D,POS_C,8.0,2951
S06,D,POS_D,2.0,813
S06,D,POS_E,0.5,184
S06,D,POS_F,0.125,68
S06,E,POS_A,128.0,18604
S06,E,POS_B,32.0,6960
S06,E,POS_C,8.0,1594
S06,E,POS_D,2.0,436
S06,E,POS_E,0.5,86
S06,E,POS_F,0.125,44
S07,A,POS_A,128.0,34787
S07,A,POS_B,32.0,9817
S07,A,POS_C,8.0,2345
S07,A,POS_D,2.0,679
S07,A,POS_E,0.5,138
S07,A,POS_F,0.125,98
S07,B,POS_A,128.0,39279
S07,B,POS_B,32.0,10895
S07,B,POS_C,8.0,2460
S07,B,POS_D,2.0,679
S07,B,POS_E,0.5,137
S07,B,POS_F,0.125,71
S07,D,POS_A,128.0,60254
S07,D,POS_B,32.0,16035
S07,D,POS_C,8.0,3606
S07,D,POS_D,2.0,1085
S07,D,POS_E,0.5,200
S07,D,POS_F,0.125,87
S07,E,POS_A,128.0,21321
S07,E,POS_B,32.0,7872
S07,E,POS_C,8.0,1847
S07,E,POS_D,2.0,524
S07,E,POS_E,0.5,82
S07,E,POS_F,0.125,55
S08,A,POS_A,128.0,21688
S08,A,POS_B,32.0,5849
S08,A,POS_C,8.0,1372
S08,A,POS_D,2.0,460
S08,A,POS_E,0.5,71
S08,A,POS_F,0.125,63
S08,B,POS_A,128.0,47845
S08,B,POS_B,32.0,13291
S08,B,POS_C,8.0,2980
S08,B,POS_D,2.0,799
S08,B,POS_E,0.5,142
S08,B,POS_F,0.125,74
S08,D,POS_A,128.0,43712
S08,D,POS_B,32.0,11456
S08,D,POS_C,8.0,2619
S08,D,POS_D,2.0,745
S08,D,POS_E,0.5,168
S08,D,POS_F,0.125,55
S08,E,POS_A,128.0,25862
S08,E,POS_B,32.0,9557
S08,E,POS_C,8.0,2269
S08,E,POS_D,2.0,641
S08,E,POS_E,0.5,95
S08,E,POS_F,0.125,80
S09,A,POS_A,128.0,34782
S09,A,POS_B,32.0,9638
S09,A,POS_C,8.0,2465
S09,A,POS_D,2.0,719
S09,A,POS_E,0.5,134
S09,A,POS_F,0.125,101
S09,B,POS_A,128.0,47464
S09,B,POS_B,32.0,13170
S09,B,POS_C,8.0,3105
S09,B,POS_D,2.0,826
S09,B,POS_E,0.5,144
S09,B,POS_F,0.125,70
S09,D,POS_A,128.0,68176
S09,D,POS_B,32.0,17738
S09,D,POS_C,8.0,3933
S09,D,POS_D,2.0,1102
S09,D,POS_E,0.5,210
S09,D,POS_F,0.125,89
S09,E,POS_A,128.0,19456
S09,E,POS_B,32.0,7403
S09,E,POS_C,8.0,1625
S09,E,POS_D,2.0,471
S09,E,POS_E,0.5,70
S09,E,POS_F,0.125,34
S10,A,POS_A,128.0,26995
S10,A,POS_B,32.0,7534
S10,A,POS_C,8.0,1904
S10,A,POS_D,2.0,586
S10,A,POS_E,0.5,75
S10,A,POS_F,0.125,72
S10,B,POS_A,128.0,38624
S10,B,POS_B,32.0,10662
S10,B,POS_C,8.0,2399
S10,B,POS_D,2.0,700
S10,B,POS_E,0.5,117
S10,B,POS_F,0.125,79
S10,D,POS_A,128.0,62810
S10,D,POS_B,32.0,16037
S10,D,POS_C,8.0,3454
S10,D,POS_D,2.0,1002
S10,D,POS_E,0.5,209
S10,D,POS_F,0.125,89
S10,E,POS_A,128.0,28953
S10,E,POS_B,32.0,10847
S10,E,POS_C,8.0,2647
S10,E,POS_D,2.0,725
S10,E,POS_E,0.5,113
S10,E,POS_F,0.125,73
S11,A,POS_A,128.0,35838
S11,A,POS_B,32.0,10659
S11,A,POS_C,8.0,2663
S11,A,POS_D,2.0,753
S11,A,POS_E,0.5,145
S11,A,POS_F,0.125,90
S11,B,POS_A,128.0,36304
S11,B,POS_B,32.0,10365
S11,B,POS_C,8.0,2536
S11,B,POS_D,2.0,680
S11,B,POS_E,0.5,123
S11,B,POS_F,0.125,57
S11,D,POS_A,128.0,57622
S11,D,POS_B,32.0,15684
S11,D,POS_C,8.0,3253
S11,D,POS_D,2.0,889
S11,D,POS_E,0.5,194
S11,D,POS_F,0.125,65
S11,E,POS_A,128.0,22750
S11,E,POS_B,32.0,8573
S11,E,POS_C,8.0,2045
S11,E,POS_D,2.0,560
S11,E,POS_E,0.5,109
S11,E,POS_F,0.125,58
S12,A,POS_A,128.0,36291
S12,A,POS_B,32.0,10606
S12,A,POS_C,8.0,2735
S12,A,POS_D,2.0,792
S12,A,POS_E,0.5,138
S12,A,POS_F,0.125,111
S12,B,POS_A,128.0,36820
S12,B,POS_B,32.0,10887
S12,B,POS_C,8.0,2515
S12,B,POS_D,2.0,685
S12,B,POS_E,0.5,119
S12,B,POS_F,0.125,75
S12,D,POS_A,128.0,56264
S12,D,POS_B,32.0,15237
S12,D,POS_C,8.0,3352
S12,D,POS_D,2.0,983
S12,D,POS_E,0.5,226
S12,D,POS_F,0.125,71
S12,E,POS_A,128.0,19068
S12,E,POS_B,32.0,7177
S12,E,POS_C,8.0,1753
S12,E,POS_D,2.0,498
S12,E,POS_E,0.5,80
S12,E,POS_F,0.125,57
S13,A,POS_A,128.0,40901
S13,A,POS_B,32.0,12010
S13,A,POS_C,8.0,3008
S13,A,POS_D,2.0,870
S13,A,POS_E,0.5,167
S13,A,POS_F,0.125,113
S13,B,POS_A,128.0,45166
S13,B,POS_B,32.0,12918
S13,B,POS_C,8.0,3140
S13,B,POS_D,2.0,819
S13,B,POS_E,0.5,150
S13,B,POS_F,0.125,84
S13,D,POS_A,128.0,51922
S13,D,POS_B,32.0,13983
S13,D,POS_C,8.0,2978
S13,D,POS_D,2.0,874
S13,D,POS_E,0.5,187
S13,D,POS_F,0.125,77
S13,E,POS_A,128.0,28256
S13,E,POS_B,32.0,10694
S13,E,POS_C,8.0,2533
S13,E,POS_D,2.0,696
S13,E,POS_E,0.5,134
S13,E,POS_F,0.125,95
S14,A,POS_A,128.0,30053
S14,A,POS_B,32.0,8993
S14,A,POS_C,8.0,2290
S14,A,POS_D,2.0,671
S14,A,POS_E,0.5,104
S14,A,POS_F,0.125,84
S14,B,POS_A,128.0,39441
S14,B,POS_B,32.0,11612
S14,B,POS_C,8.0,2797
S14,B,POS_D,2.0,697
S14,B,POS_E,0.5,137
S14,B,POS_F,0.125,54
S14,D,POS_A,128.0,56844
S14,D,POS_B,32.0,15568
S14,D,POS_C,8.0,3367
S14,D,POS_D,2.0,1000
S14,D,POS_E,0.5,202
S14,D,POS_F,0.125,71
S14,E,POS_A,128.0,20324
S14,E,POS_B,32.0,8045
S14,E,POS_C,8.0,1831
S14,E,POS_D,2.0,540
S14,E,POS_E,0.5,107
S14,E,POS_F,0.125,53
S15,A,POS_A,128.0,36798
S15,A,POS_B,32.0,11080
S15,A,POS_C,8.0,2829
S15,A,POS_D,2.0,750
S15,A,POS_E,0.5,162
S15,A,POS_F,0.125,121
S15,B,POS_A,128.0,57049
S15,B,POS_B,32.0,16532
S15,B,POS_C,8.0,3961
S15,B,POS_D,2.0,1121
S15,B,POS_E,0.5,180
S15,B,POS_F,0.125,108
S15,D,POS_A,128.0,59881
S15,D,POS_B,32.0,15856
S15,D,POS_C,8.0,3467
S15,D,POS_D,2.0,1020
S15,D,POS_E,0.5,215
S15,D,POS_F,0.125,75
S15,E,POS_A,128.0,19790
S15,E,POS_B,32.0,7491
S15,E,POS_C,8.0,1791
S15,E,POS_D,2.0,494
S15,E,POS_E,0.5,102
S15,E,POS_F,0.125,70
