gene,class,A_S01,A_S02,A_S03,A_S04,A_S05,B_S01,B_S02,B_S03,B_S04,B_S05,C_S01,C_S02,C_S03,C_S04,C_S05
ACTB,HK,6155,32695,20070,14867,3626,7120,48978,28592,15893,4799,6018,45910,21408,13730,4244
AK3,Other,670,1804,3796,837,315,477,1631,3189,556,281,701,2778,4318,815,438
ARID1B,BM,157,719,440,220,81,160,1025,627,198,112,243,1473,704,329,145
AURKA,Other,10,47,69,75,8,3,39,49,25,1,3,55,53,46,12
AURKB,Other,2,26,38,53,4,2,35,47,51,3,10,47,60,63,12
BIRC5,Other,1,21,53,76,2,6,69,96,107,3,13,88,133,191,4
BMI1,Other,97,680,741,339,54,83,679,648,233,35,49,587,478,158,26
BMP4,Other,844,4781,2344,1427,861,602,4432,2080,943,593,582,5433,1830,960,769
BRIP1,Other,7,44,66,74,3,5,40,66,47,3,12,58,93,62,1
CASC3,HK,429,1976,1804,931,240,290,1890,1676,590,196,339,2507,1580,787,221
CCL21,BM,3,6,12,1,0,6,12,8,8,7,8,21,15,15,6
CCN1,BM,707,27023,3386,567,407,436,23405,2641,303,336,701,43753,4186,552,587
CCNA2,Other,11,60,100,55,8,13,74,116,61,7,20,81,72,59,16
CCNB1,Other,12,64,153,81,3,11,79,169,61,8,9,100,135,66,9
CCND2,BM,29,192,1081,779,26,28,171,824,473,16,56,439,1612,1045,57
CD3E,BM,4,11,19,18,4,6,18,25,18,7,3,46,37,30,5
CDC20,BM,22,72,86,70,37,29,92,100,75,35,20,93,79,70,36
CDK1,Other,8,109,199,231,4,13,99,157,149,6,8,160,215,185,10
CDK4,Other,80,433,829,399,47,50,457,782,318,39,66,475,593,275,49
CDK6,BM,14,162,145,94,7,11,360,297,165,14,19,491,361,196,28
CDKN2A,BM,52,176,108,179,115,56,261,145,228,152,90,361,197,260,221
CDKN2C,BM,95,335,752,232,102,40,345,677,148,73,92,585,873,221,169
CENPF,Other,7,40,187,303,4,13,46,180,192,13,4,57,153,208,3
CHEK1,BM,2,36,98,47,1,6,71,149,55,6,7,122,152,67,7
CKS2,BM,5,68,114,123,2,9,159,255,214,11,12,289,336,287,4
COL1A1,BM,416,2836,1082,29621,808,225,2922,907,23650,617,465,4710,1347,30936,1035
DTL,Other,5,16,37,42,2,4,41,60,49,3,3,19,40,28,3
E2F2,Other,2,28,31,15,1,2,25,28,21,1,5,59,17,26,6
ESR1,BM,9,34,34,21,6,10,30,31,11,9,8,20,22,20,8
EZH2,BM,19,74,66,56,1,14,114,115,68,9,11,92,55,49,8
FANCB,Other,2,25,18,36,0,12,29,18,26,8,9,42,24,21,6
FBLIM1,BM,69,357,279,228,101,47,332,255,139,96,33,263,165,116,70
FGFR4,BM,3,12,42,12,6,6,16,31,15,7,23,94,129,84,18
FLT1,Other,188,738,430,79,191,63,498,345,45,74,69,416,186,22,101
FOXM1,Other,6,42,104,71,2,7,53,114,77,4,2,71,146,126,3
GAS1,BM,2219,2758,10223,1779,753,1404,2244,8206,1064,512,1592,2806,7784,1181,597
GPHA2,Other,7,17,11,21,3,7,13,15,12,2,9,34,17,24,4
GUSB,HK,137,592,565,359,75,152,980,901,419,116,213,1358,1036,561,169
HPRT1,Other,109,625,1161,458,69,81,713,1200,418,72,71,669,945,309,67
IFNGR1,BM,1093,5273,5371,986,578,652,4182,3902,538,398,983,6901,5165,785,653
IGF2,BM,175,6984,2068,26437,74,272,12225,3302,35247,136,319,21617,4304,46314,199
KDR,BM,133,395,209,42,98,95,544,229,33,98,133,706,223,38,136
KIAA1715,HK,108,589,788,308,66,109,645,799,253,91,130,850,878,334,107
KIF20A,BM,4,18,32,37,4,8,26,44,41,11,3,19,14,13,2
KRT14,BM,3,1155,5,20,1,5,1746,16,11,3,1,1709,3,5,1
L1CAM,Other,2,9,14,17,1,5,6,14,5,1,8,27,18,79,4
LINC02593,BM,102,1080,317,121,71,108,948,293,107,80,143,1340,322,164,122
LYVE1,Other,302,290,262,1041,463,358,464,355,1086,557,363,513,372,1232,634
MDM4,BM,223,713,957,477,116,218,1031,1360,432,150,271,1363,1416,587,212
MMP9,BM,0,169,19,6,3,2,98,22,10,6,6,225,61,20,7
MRPL19,HK,92,382,665,277,40,76,420,695,236,31,93,642,850,300,54
MUTYH,BM,42,107,64,25,18,46,170,87,35,15,31,156,43,17,22
MYBL1,BM,4,55,71,57,1,5,55,40,30,2,4,57,42,33,2
NDRG2,Other,444,1768,762,470,525,315,1823,657,347,386,463,3022,910,553,679
PGK1,BM,779,4419,6395,4598,626,798,5522,7701,4199,695,833,6959,7308,4672,781
PGR,BM,336,666,1740,57,142,265,698,1603,49,107,298,995,1815,40,145
PIM1,BM,16,560,228,117,26,9,780,350,147,19,18,1516,543,237,59
PINK1,Other,118,574,279,87,87,88,1004,501,118,110,196,1305,505,172,158
POP4,HK,52,314,396,275,34,120,477,556,336,86,108,474,453,337,87
PTTG1,Other,5,113,194,154,5,8,110,206,106,5,12,148,192,156,13
RAD51,Other,2,15,15,24,0,7,20,19,33,4,11,77,106,50,6
RAPGEF1,Other,81,570,485,405,43,183,1204,881,504,102,204,1335,779,555,132
RPL19,Other,6072,24664,82613,20556,4376,4042,20247,64147,12477,2891,5469,33983,86222,19526,4676
RPLP0,Other,4912,22950,83094,32183,3027,4335,26854,88256,27389,2767,4617,33233,89018,29597,3425
SFRP4,Other,31,527,6,75,3,36,625,20,80,5,54,853,16,97,12
SMARCE1,Other,386,1859,2915,1436,237,403,2603,3607,1416,271,403,2848,3177,1422,276
SOS2,Other,284,1349,999,465,197,337,1801,1327,569,207,334,1925,1146,543,236
SPOP,BM,107,583,501,199,42,111,741,592,186,45,95,788,495,182,55
SPP1,Other,124,4500,1535,3106,42,106,5594,1857,2880,50,188,8736,2375,4385,60
TAGLN,BM,1005,8389,8848,1998,1375,576,6501,6478,1122,854,884,11589,9374,1577,1483
TMEM30B,BM,2799,10332,38,1001,1048,1791,8795,35,605,763,2245,12778,25,707,996
TOP2A,Other,7,116,218,278,1,12,162,317,351,4,15,208,310,367,5
TROAP,Other,3,26,22,59,3,1,26,46,51,6,5,38,55,47,4
TTC21B,HK,93,431,417,230,62,109,500,497,203,62,87,613,470,224,58
USF1,BM,44,229,198,182,22,23,189,147,116,23,70,433,314,208,48
