gene,class,A_S08,A_S10,A_S06,A_S07,A_S09,A_S11,A_S12,A_S13,A_S14,A_S15,B_S08,B_S10,B_S06,B_S07,B_S09,B_S11,B_S12,B_S13,B_S14,B_S15,D_S08,D_S10,D_S06,D_S07,D_S09,D_S11,D_S12,D_S13,D_S14,D_S15,E_S08,E_S10,E_S06,E_S07,E_S09,E_S11,E_S12,E_S13,E_S14,E_S15
ACTB,HK,2247,25560,38651,20048,48118,50362,61277,56173,34277,80106,2359,19667,30536,12228,36272,32482,41112,45087,32735,85643,2367,38115,37839,19718,56499,19,103427,53159,50725,102101,1673,18322,15746,8423,15996,24452,24549,28297,20297,60844
AK3,Other,142,1925,3338,2116,4592,13823,8848,9920,4661,20707,79,746,1419,730,2001,4144,2909,3817,2173,10749,77,1461,1808,1285,2914,4,11898,4275,3491,11426,92,1262,1204,855,1572,5448,2789,3881,2348,7052
ARID1B,BM,77,1327,1418,327,1402,1659,1028,1983,1121,2166,42,746,885,164,827,704,490,1220,730,1508,48,1191,916,251,1203,3,1845,1134,1036,1563,85,1523,994,260,1024,1397,669,1607,1096,25743
AURKA,Other,2,82,104,106,110,130,556,123,45,106,1,21,23,24,22,27,100,41,12,40,8,70,54,71,69,4,316,46,22,67,7,64,37,39,27,58,160,60,24,66
AURKB,Other,7,43,45,51,40,94,433,37,24,101,6,22,17,16,34,35,159,23,7,45,1,46,26,32,30,11,373,23,24,72,11,27,10,21,24,42,148,26,18,84
BIRC5,Other,6,36,47,61,35,108,592,24,13,101,4,30,37,47,48,68,406,35,17,97,4,78,47,84,72,2,1009,40,41,144,11,35,22,35,28,82,370,26,21,75
BMI1,Other,31,621,1150,662,1998,2018,1269,5525,2130,2784,17,262,447,195,812,606,426,2138,1015,1299,27,502,578,341,1245,7,1805,2459,1418,1498,22,359,329,209,636,684,383,1890,877,844
BMP4,Other,846,5112,4406,679,6519,10228,4330,1157,7381,8185,501,2331,2188,277,3137,3935,1711,580,4321,5502,283,3066,1775,238,3316,2,5805,445,4580,4225,502,3460,1754,311,2673,4824,1636,539,4516,3334
BRIP1,Other,2,111,85,78,60,159,670,63,31,123,3,36,33,20,25,47,168,24,16,37,4,58,35,29,34,1,305,20,22,47,11,53,22,19,25,50,137,22,12,48
CASC3,HK,136,2647,2467,2342,3095,3176,7604,6688,2150,3944,84,1177,1090,962,1551,1193,2914,3339,1217,2437,97,1904,1187,1279,2026,7,5972,3058,1666,2240,94,1599,845,841,1109,1342,2452,2773,1120,38961
CCL21,BM,1,8,6,1,5,11,25,24,11,18,8,6,9,4,9,10,8,16,21,22,1,5,10,2,7,0,17,21,9,14,3,4,1,2,4,5,4,20,11,19354
CCN1,BM,850,333,3463,724,8834,106111,2505,42557,7802,13338,457,129,1469,261,3686,33623,768,17166,3858,6765,517,267,1745,448,5492,1,54951,20127,6160,7958,844,316,1661,418,4610,65052,1238,25853,6201,46965
CCNA2,Other,15,115,90,90,144,360,680,149,67,289,10,64,61,33,80,127,251,71,34,159,7,101,51,45,99,3,554,60,41,147,9,68,40,38,46,114,178,47,35,130
CCNB1,Other,13,185,160,216,214,646,1578,340,153,367,10,91,78,63,107,221,604,91,81,189,6,134,92,110,136,7,1059,118,118,205,6,106,72,83,75,246,493,92,72,170
CCND2,BM,10,936,2842,488,1220,2005,4060,2847,2845,2683,7,335,1331,150,515,658,1400,1182,1339,1436,2,1058,2260,422,1236,4,4223,1800,2786,2271,19,1454,2578,474,1086,1900,3237,2637,3206,32470
CD3E,BM,1,29,26,14,33,119,24,165,72,46,13,34,36,14,34,95,9,157,84,32,5,85,42,32,37,4,172,245,185,56,4,35,27,11,13,104,9,144,77,9661
CDC20,BM,31,67,188,67,213,116,287,71,127,203,38,47,126,46,149,64,187,39,94,189,15,47,65,41,104,5,169,37,70,94,26,51,53,28,77,46,118,45,67,26836
CDK1,Other,3,80,110,172,132,440,2458,155,100,430,6,40,50,49,52,143,719,79,38,238,6,72,81,117,129,8,1625,79,77,289,29,90,81,88,70,192,915,95,71,297
CDK4,Other,16,753,1260,780,1067,1340,2526,1355,769,1439,10,294,556,308,454,483,896,548,402,770,22,747,883,649,972,7,3114,862,818,1141,17,471,432,303,356,520,823,555,354,573
CDK6,BM,1,151,397,25,87,524,243,334,365,396,2,130,425,20,92,425,228,336,491,530,1,348,493,37,161,1,1008,369,688,617,14,235,245,28,71,415,198,247,349,24149
CDKN2A,BM,144,59,210,621,54,150,98,132,15,41,129,35,171,413,37,105,83,113,18,62,110,89,183,591,53,1,219,164,24,72,133,43,99,332,19,83,52,103,11,22183
CDKN2C,BM,28,280,854,202,225,1347,1043,600,1830,3124,10,100,480,53,80,530,409,283,914,1924,24,303,637,189,201,8,1841,401,1912,2470,27,217,440,152,105,780,472,329,1232,25993
CENPF,Other,33,172,74,295,105,331,1542,187,58,212,16,76,52,114,62,119,545,71,20,116,19,123,57,134,61,8,931,78,47,118,25,89,29,121,32,108,413,65,32,102
CHEK1,BM,1,56,85,90,40,154,501,66,39,140,5,44,57,57,51,64,254,40,31,100,9,50,62,49,35,4,332,37,32,97,0,28,25,36,13,55,140,26,19,20491
CKS2,BM,2,70,110,193,209,438,1031,277,105,238,13,88,115,126,215,331,665,184,128,254,11,116,147,184,302,4,1432,212,169,275,11,120,109,190,192,444,814,242,135,44525
COL1A1,BM,934,151,19903,778,1843,22255,18853,6683,2006,3554,520,44,9890,256,793,9103,8127,3471,1192,2429,562,109,9844,448,1134,3,22453,3206,1614,2226,892,118,8040,391,736,11200,7655,3335,1262,19578
DTL,Other,2,11,21,63,19,84,411,23,21,44,6,19,22,39,18,45,184,31,27,52,4,19,18,60,18,4,370,8,8,28,13,17,18,50,10,52,179,13,11,53
E2F2,Other,4,9,27,14,24,44,125,19,13,51,4,5,19,5,11,15,47,14,10,29,12,28,25,18,32,3,106,17,24,47,5,4,8,3,2,12,26,8,6,24
ESR1,BM,14,129,70,51,91,175,33,103,89,114,3,33,32,10,28,45,14,22,42,54,7,67,38,33,45,4,94,42,66,84,13,69,32,21,22,89,34,39,57,14967
EZH2,BM,9,234,87,66,78,127,295,47,40,95,10,119,61,33,51,69,157,53,35,97,7,206,57,47,82,2,286,54,36,88,14,171,37,37,30,59,127,40,17,24002
